term,count,positive,negative,neutral,avg_score
mother,14,9,5,0,0.9634512918336051
child,8,3,5,0,0.9752650856971741
father,8,5,3,0,0.9768080338835716
wife,7,4,3,0,0.9359095522335598
son,6,2,4,0,0.9388882716496786
husband,4,3,1,0,0.9512016624212265
daughter,4,3,1,0,0.9279563724994659
brother,3,2,1,0,0.9878206849098206
uncle,1,1,0,0,0.9995261430740356
grandmother,1,0,1,0,0.9375803470611572
sister,1,1,0,0,0.9971885085105896
