term,count,positive,negative,neutral,avg_score
ﺏﺃ,44,0,0,44,0.5269347117705778
ﻡﺃ,21,0,0,21,0.5224461498714629
ﻦﺑﺍ,20,0,0,20,0.5258615732192993
ﺯﻮﺟ,15,0,0,15,0.5276394367218018
ﺖﻨﺑ,10,0,0,10,0.5295492351055145
ﺕﺍﺮﻣ,9,0,0,9,0.5218855539957682
ﺖﺧﺃ,8,0,0,8,0.5293313264846802
ﺥﺃ,7,0,0,7,0.5245592594146729
ﻢﻋ,5,0,0,5,0.5253725528717041
ﺪﺟ,4,0,0,4,0.5251181870698929
ﺔﻟﺎﺧ,4,0,0,4,0.520268589258194
ﺔﺳﻭﺮﻋ,3,0,0,3,0.5165823499361674
